From File,To File,References,From Entities,To Entities
c488/codegen.c,c488/common.h,16,4,3
c488/codegen.c,c488/globalvars.h,1,1,1
c488/codegen.c,c488/machine.c,1,1,1
c488/codegen.c,c488/machine.h,1,1,1
c488/codegen.c,c488/machineDef.h,5,3,3
c488/codegen.c,c488/parsecodegen.h,1,1,1
c488/codegen.c,c488/semanticext.h,9,4,2
c488/codegen.c,c488/semantics.c,10,3,2
c488/codegen.c,c488/symbol.c,22,2,3
c488/codegen.c,c488/symbol.h,15,6,7
c488/codegen.c,c488/tokenDef.h,2,1,2
c488/globalvars.h,c488/common.h,2,2,2
c488/machine.c,c488/codegen.c,9,2,3
c488/machine.c,c488/common.h,8,4,3
c488/machine.c,c488/globalvars.h,1,1,1
c488/machine.c,c488/machine.h,1,1,1
c488/machine.c,c488/machineDef.h,21,7,7
c488/machineDef.h,c488/common.h,1,1,1
c488/main.c,c488/codegen.c,2,1,2
c488/main.c,c488/common.h,26,2,3
c488/main.c,c488/globalvars.h,1,1,1
c488/main.c,c488/machine.c,1,1,1
c488/main.c,c488/machine.h,1,1,1
c488/main.c,c488/parser.c,2,1,2
c488/main.c,c488/parser.h,1,1,1
c488/main.c,c488/scanner.c,1,1,1
c488/main.c,c488/scanner.h,1,1,1
c488/main.c,c488/semantics.c,2,1,2
c488/parsecodegen.h,c488/tokenDef.h,2,2,2
c488/parser.c,c488/codegen.c,1,1,1
c488/parser.c,c488/codegen.h,1,1,1
c488/parser.c,c488/common.h,5,4,3
c488/parser.c,c488/globalvars.h,1,1,1
c488/parser.c,c488/parsecodegen.h,1,1,1
c488/parser.c,c488/parser.h,1,1,1
c488/parser.c,c488/parsesemantics.h,1,1,1
c488/parser.c,c488/parsetables.h,122,4,9
c488/parser.c,c488/scanner.c,2,2,1
c488/parser.c,c488/scanner.h,1,1,1
c488/parser.c,c488/scanparse.h,12,2,8
c488/parser.c,c488/semantics.c,1,1,1
c488/parser.c,c488/semantics.h,1,1,1
c488/parser.c,c488/tokenDef.h,21,4,9
c488/parser.c,c488/tset.c,66,1,2
c488/parser.c,c488/tset.h,59,3,4
c488/parsesemantics.h,c488/tokenDef.h,2,2,2
c488/parsetables.h,c488/parsecodegen.h,1,1,1
c488/parsetables.h,c488/parsesemantics.h,1,1,1
c488/parsetables.h,c488/scanparse.h,1,1,1
c488/parsetables.h,c488/tokenDef.h,2,2,2
c488/scanner.c,c488/common.h,11,4,6
c488/scanner.c,c488/globalvars.h,1,1,1
c488/scanner.c,c488/scanner.h,1,1,1
c488/scanner.c,c488/scanparse.h,26,3,13
c488/scanparse.h,c488/tokenDef.h,4,3,3
c488/semantics.c,c488/codegen.c,2,1,2
c488/semantics.c,c488/common.h,3,2,3
c488/semantics.c,c488/globalvars.h,1,1,1
c488/semantics.c,c488/parsesemantics.h,1,1,1
c488/semantics.c,c488/semanticext.h,59,22,10
c488/semantics.c,c488/semantics.h,1,1,1
c488/semantics.c,c488/symbol.c,40,4,9
c488/semantics.c,c488/symbol.h,60,3,13
c488/semantics.c,c488/tokenDef.h,2,1,1
c488/symbol.c,c488/common.h,4,4,2
c488/symbol.c,c488/globalvars.h,1,1,1
c488/symbol.c,c488/symbol.h,20,10,5
c488/symbol.h,c488/common.h,4,2,1
c488/tset.c,c488/common.h,1,1,1
c488/tset.c,c488/globalvars.h,1,1,1
c488/tset.c,c488/tset.h,9,5,7
c488/tset.h,c488/common.h,1,1,1
